rcv 	0.73	A	2001	0	1210
snd 	0.73	D	1303	1	2001
snd 	0.73	D	1304	1	2001
snd 	0.73	D	1305	1	2001
snd 	0.73	D	1306	1	2001
snd 	0.73	D	1307	1	2001
snd 	0.73	D	1308	1	2001
snd 	0.73	D	1309	1	2001
rcv 	0.73	A	2001	0	1211
snd 	0.73	D	1310	1	2001
rcv 	0.74	A	2001	0	1212
snd 	0.74	D	1311	1	2001
rcv 	0.74	A	2001	0	1213
snd 	0.74	D	1312	1	2001
rcv 	0.74	A	2001	0	1214
snd 	0.74	D	1313	1	2001
rcv 	0.74	A	2001	0	1215
rcv 	0.74	A	2001	0	1216
snd 	0.74	D	1314	1	2001
snd 	0.74	D	1315	1	2001
rcv 	0.74	A	2001	0	1217
snd 	0.74	D	1316	1	2001
rcv 	0.74	A	2001	0	1217
rcv 	0.74	A	2001	0	1217
snd 	0.75	D	1217	1	2001
snd 	0.76	D	1217	1	2001
snd 	0.77	D	1217	1	2001
snd 	0.78	D	1217	1	2001
snd 	0.79	D	1217	1	2001
snd 	0.80	D	1217	1	2001
snd 	0.82	D	1217	1	2001
snd 	0.83	D	1217	1	2001
snd 	0.84	D	1217	1	2001
snd 	0.85	D	1217	1	2001
snd 	0.86	D	1217	1	2001
snd 	0.87	D	1217	1	2001
snd 	0.88	D	1217	1	2001
snd 	0.89	D	1217	1	2001
snd 	0.90	D	1217	1	2001
rcv 	0.92	A	2001	0	1217
snd 	0.92	D	1217	1	2001
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
snd 	0.92	D	1217	1	2001
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
snd 	0.92	D	1217	1	2001
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
snd 	0.92	D	1217	1	2001
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
snd 	0.92	D	1217	1	2001
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
snd 	0.92	D	1217	1	2001
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
rcv 	0.92	A	2001	0	1217
snd 	0.92	D	1217	1	2001
rcv 	0.93	A	2001	0	1217
rcv 	0.93	A	2001	0	1218
rcv 	0.93	A	2001	0	1219
rcv 	0.93	A	2001	0	1220
rcv 	0.93	A	2001	0	1221
rcv 	0.93	A	2001	0	1222
rcv 	0.93	A	2001	0	1223
rcv 	0.93	A	2001	0	1224
rcv 	0.93	A	2001	0	1225
rcv 	0.93	A	2001	0	1226
rcv 	0.93	A	2001	0	1227
rcv 	0.93	A	2001	0	1228
rcv 	0.93	A	2001	0	1229
snd 	0.93	D	1229	1	2001
rcv 	0.93	A	2001	0	1230
rcv 	0.93	A	2001	0	1231
rcv 	0.93	A	2001	0	1232
snd 	0.93	D	1317	1	2001
snd 	0.93	D	1318	1	2001
snd 	0.93	D	1319	1	2001
snd 	0.93	D	1320	1	2001
snd 	0.93	D	1321	1	2001
snd 	0.93	D	1322	1	2001
snd 	0.93	D	1323	1	2001
snd 	0.93	D	1324	1	2001
snd 	0.93	D	1325	1	2001
snd 	0.93	D	1326	1	2001
snd 	0.93	D	1327	1	2001
snd 	0.93	D	1328	1	2001
snd 	0.93	D	1329	1	2001
snd 	0.93	D	1330	1	2001
snd 	0.93	D	1331	1	2001
rcv 	0.94	A	2001	0	1233
rcv 	0.94	A	2001	0	1234
rcv 	0.94	A	2001	0	1235
rcv 	0.94	A	2001	0	1236
rcv 	0.94	A	2001	0	1237
rcv 	0.94	A	2001	0	1238
rcv 	0.95	A	2001	0	1239
rcv 	0.95	A	2001	0	1240
rcv 	0.95	A	2001	0	1241
rcv 	0.95	A	2001	0	1242
rcv 	0.95	A	2001	0	1243
rcv 	0.95	A	2001	0	1244
rcv 	0.95	A	2001	0	1245
rcv 	0.95	A	2001	0	1246
rcv 	0.95	A	2001	0	1247
rcv 	0.95	A	2001	0	1247
rcv 	0.95	A	2001	0	1247
rcv 	0.95	A	2001	0	1247
snd 	0.95	D	1247	1	2001
rcv 	0.95	A	2001	0	1248
rcv 	0.95	A	2001	0	1249
rcv 	0.95	A	2001	0	1250
rcv 	0.95	A	2001	0	1251
rcv 	0.95	A	2001	0	1252
rcv 	0.95	A	2001	0	1253
rcv 	0.95	A	2001	0	1254
rcv 	0.95	A	2001	0	1255
rcv 	0.95	A	2001	0	1255
rcv 	0.95	A	2001	0	1255
rcv 	0.95	A	2001	0	1255
snd 	0.95	D	1255	1	2001
rcv 	0.95	A	2001	0	1256
rcv 	0.95	A	2001	0	1257
rcv 	0.95	A	2001	0	1258
rcv 	0.95	A	2001	0	1259
rcv 	0.95	A	2001	0	1260
rcv 	0.95	A	2001	0	1261
rcv 	0.95	A	2001	0	1262
rcv 	0.95	A	2001	0	1263
snd 	0.95	D	1332	1	2001
snd 	0.95	D	1333	1	2001
snd 	0.95	D	1334	1	2001
snd 	0.95	D	1335	1	2001
snd 	0.95	D	1336	1	2001
snd 	0.95	D	1337	1	2001
snd 	0.95	D	1338	1	2001
snd 	0.95	D	1339	1	2001
snd 	0.95	D	1340	1	2001
snd 	0.95	D	1341	1	2001
snd 	0.95	D	1342	1	2001
snd 	0.95	D	1343	1	2001
snd 	0.95	D	1344	1	2001
snd 	0.95	D	1345	1	2001
snd 	0.95	D	1346	1	2001
snd 	0.95	D	1347	1	2001
snd 	0.95	D	1348	1	2001
snd 	0.95	D	1349	1	2001
snd 	0.95	D	1350	1	2001
snd 	0.95	D	1351	1	2001
snd 	0.95	D	1352	1	2001
snd 	0.95	D	1353	1	2001
snd 	0.95	D	1354	1	2001
snd 	0.95	D	1355	1	2001
snd 	0.95	D	1356	1	2001
snd 	0.95	D	1357	1	2001
snd 	0.95	D	1358	1	2001
snd 	0.95	D	1359	1	2001
snd 	0.95	D	1360	1	2001
snd 	0.95	D	1361	1	2001
snd 	0.95	D	1362	1	2001
rcv 	0.95	A	2001	0	1264
rcv 	0.96	A	2001	0	1265
rcv 	0.96	A	2001	0	1266
rcv 	0.96	A	2001	0	1267
rcv 	0.96	A	2001	0	1268
rcv 	0.96	A	2001	0	1269
rcv 	0.96	A	2001	0	1270
